央视频道,#genre#
兵团卫视,http://39.134.169.184:6060/050000001888/5000000188800000210/index.m3u8
青海安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
厦门卫视,http://39.134.169.184:6060/050000001888/5000000188800000062/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
深圳卫视,http://39.134.169.184:6060/050000001888/5000000188800000068/index.m3u8
三沙卫视,http://39.134.169.184:6060/050000001888/5000000188800000214/index.m3u8
广东大湾区卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
广东大湾区卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226038/index.m3u8
大湾区卫视,http://39.134.169.184:6060/050000001888/5000000188800000208/index.m3u8
家庭理财,http://39.134.169.184:6060/050000001888/5000000188800000178/index.m3u8
数字付费,#genre#
CCTV4K,http://39.134.169.184:6060/050000001888/5000000188800000217/index.m3u8
中数央视精品,http://39.134.169.184:6060/050000001888/5000000188800000160/index.m3u8
中数第一剧场,http://39.134.169.184:6060/050000001888/5000000188800000155/index.m3u8
中数风云剧场,http://39.134.169.184:6060/050000001888/5000000188800000157/index.m3u8
中数风云音乐,http://39.134.169.184:6060/050000001888/5000000188800000158/index.m3u8
中数世界地理,http://39.134.169.184:6060/050000001888/5000000188800000156/index.m3u8
中数怀旧剧场,http://39.134.169.184:6060/050000001888/5000000188800000192/index.m3u8
中数兵器科技,http://39.134.169.184:6060/050000001888/5000000188800000163/index.m3u8
中数女性时尚,http://39.134.169.184:6060/050000001888/5000000188800000161/index.m3u8
中数汽摩,http://39.134.169.184:6060/050000001888/5000000188800000169/index.m3u8
中数CCTV证券资讯,http://39.134.169.184:6060/050000001888/5000000188800000182/index.m3u8
中数环球奇观,http://39.134.169.184:6060/050000001888/5000000188800000173/index.m3u8
中数国学,http://39.134.169.184:6060/050000001888/5000000188800000170/index.m3u8
中数发现之旅,http://39.134.169.184:6060/050000001888/5000000188800000171/index.m3u8
中数CCTV老故事,http://39.134.169.184:6060/050000001888/5000000188800000166/index.m3u8
中数书画频道,http://39.134.169.184:6060/050000001888/5000000188800000172/index.m3u8
北广车迷频道,http://39.134.169.184:6060/050000001888/5000000188800000174/index.m3u8
北广四海钓鱼,http://39.134.169.184:6060/050000001888/5000000188800000177/index.m3u8
北广环球旅游,http://39.134.169.184:6060/050000001888/5000000188800000176/index.m3u8
北广财富天下,http://39.134.169.184:6060/050000001888/5000000188800000179/index.m3u8
北广百姓健康,http://39.134.169.184:6060/050000001888/5000000188800000191/index.m3u8
内 蒙 古,#genre#
内蒙儿童秀场,http://39.134.169.184:6060/050000001888/5000000188800000185/index.m3u8
内蒙古装巨制,http://39.134.169.184:6060/050000001888/5000000188800000186/index.m3u8
内蒙精彩纪实,http://39.134.169.184:6060/050000001888/5000000188800000187/index.m3u8
内蒙综艺天地,http://39.134.169.184:6060/050000001888/5000000188800000188/index.m3u8
内蒙情感大剧,http://39.134.169.184:6060/050000001888/5000000188800000189/index.m3u8
内蒙动作电影,http://39.134.169.184:6060/050000001888/5000000188800000190/index.m3u8
乌兰察布新闻综合,http://39.134.169.184:6060/050000001888/5000000188800000133/index.m3u8
乌兰察布经济生活,http://39.134.169.184:6060/050000001888/5000000188800000134/index.m3u8
乌兰察布生活频道,http://39.134.169.184:6060/050000001888/5000000188800000135/index.m3u8
蒙语,http://39.134.169.184:6060/050000001888/5000000188800000143/index.m3u8
蒙语,http://39.134.169.184:6060/050000001888/5000000188800000127/index.m3u8
XMTV-1,http://39.134.169.184:6060/050000001888/5000000188800000147/index.m3u8
XMTV-2,http://39.134.169.184:6060/050000001888/5000000188800000148/index.m3u8
XATV-1新闻综合,http://39.134.169.184:6060/050000001888/5000000188800000149/index.m3u8
XATV-3影视娱乐,http://39.134.169.184:6060/050000001888/5000000188800000151/index.m3u8
XATV-2文化旅游,http://39.134.169.184:6060/050000001888/5000000188800000150/index.m3u8
新闻综合,http://39.134.169.184:6060/050000001888/5000000188800000121/index.m3u8
都市生活,http://39.134.169.184:6060/050000001888/5000000188800000122/index.m3u8
影视娱乐,http://39.134.169.184:6060/050000001888/5000000188800000123/index.m3u8
新闻综合,http://39.134.169.184:6060/050000001888/5000000188800000124/index.m3u8
经济服务,http://39.134.169.184:6060/050000001888/5000000188800000125/index.m3u8
126号,http://39.134.169.184:6060/050000001888/5000000188800000126/index.m3u8
新闻综合,http://39.134.169.184:6060/050000001888/5000000188800000128/index.m3u8
都市生活,http://39.134.169.184:6060/050000001888/5000000188800000129/index.m3u8
